LOCATION	MEASURE	TIME	Value
Australia	TONNE_CAP	1993	15.2
Australia	TONNE_CAP	1994	15.38
Australia	TONNE_CAP	1995	15.77
Australia	TONNE_CAP	1996	16.13
Australia	TONNE_CAP	1997	16.39
Australia	TONNE_CAP	1998	17.27
Australia	TONNE_CAP	1999	17.4
Australia	TONNE_CAP	2000	17.51
Australia	TONNE_CAP	2001	17.61
Australia	TONNE_CAP	2002	17.82
Australia	TONNE_CAP	2003	17.85
Australia	TONNE_CAP	2004	18.35
Australia	TONNE_CAP	2005	18.31
Australia	TONNE_CAP	2006	18.28
Australia	TONNE_CAP	2007	18.41
Australia	TONNE_CAP	2008	18.15
Australia	TONNE_CAP	2009	18.07
Australia	TONNE_CAP	2010	17.39
Australia	TONNE_CAP	2011	17.15
Australia	TONNE_CAP	2012	16.91
Australia	TONNE_CAP	2013	16.7
Canada	TONNE_CAP	1993	14.74
Canada	TONNE_CAP	1994	15.1
Canada	TONNE_CAP	1995	15.31
Canada	TONNE_CAP	1996	15.62
Canada	TONNE_CAP	1997	15.99
Canada	TONNE_CAP	1998	16.06
Canada	TONNE_CAP	1999	16.26
Canada	TONNE_CAP	2000	16.81
Canada	TONNE_CAP	2001	16.38
Canada	TONNE_CAP	2002	16.4
Canada	TONNE_CAP	2003	16.89
Canada	TONNE_CAP	2004	16.48
Canada	TONNE_CAP	2005	16.61
Canada	TONNE_CAP	2006	16.1
Canada	TONNE_CAP	2007	16.85
Canada	TONNE_CAP	2008	16.21
Canada	TONNE_CAP	2009	14.99
Canada	TONNE_CAP	2010	15.15
Canada	TONNE_CAP	2011	15.27
Canada	TONNE_CAP	2012	15.08
Canada	TONNE_CAP	2013	15.26
Japan	TONNE_CAP	1993	8.47
Japan	TONNE_CAP	1994	8.86
Japan	TONNE_CAP	1995	8.95
Japan	TONNE_CAP	1996	9.04
Japan	TONNE_CAP	1997	8.97
Japan	TONNE_CAP	1998	8.71
Japan	TONNE_CAP	1999	9.01
Japan	TONNE_CAP	2000	9.12
Japan	TONNE_CAP	2001	9
Japan	TONNE_CAP	2002	9.26
Japan	TONNE_CAP	2003	9.3
Japan	TONNE_CAP	2004	9.31
Japan	TONNE_CAP	2005	9.36
Japan	TONNE_CAP	2006	9.25
Japan	TONNE_CAP	2007	9.54
Japan	TONNE_CAP	2008	8.88
Japan	TONNE_CAP	2009	8.41
Japan	TONNE_CAP	2010	8.79
Japan	TONNE_CAP	2011	9.21
Japan	TONNE_CAP	2012	9.54
Japan	TONNE_CAP	2013	9.7
USA	TONNE_CAP	1993	19.03
USA	TONNE_CAP	1994	19.07
USA	TONNE_CAP	1995	19.03
USA	TONNE_CAP	1996	19.39
USA	TONNE_CAP	1997	19.77
