Year	CO2	Temp	Sea			
1958	315.33	0.06	0
1959	315.97	0.03	0
1960	316.91	-0.03	0
1961	317.64	0.05	0
1962	318.45	0.02	0
1963	318.99	0.06	0
1964	319.2	-0.21	0
1965	320.04	-0.1	0
1966	321.38	-0.05	0
1967	322.16	-0.03	0
1968	323.05	-0.07	0
1969	324.62	0.06	0
1970	325.68	0.03	0
1971	326.32	-0.09	0
1972	327.45	0.01	0
1973	329.68	0.15	0
1974	330.18	-0.08	0
1975	331.13	-0.01	0
1976	332.05	-0.11	0
1977	333.78	0.18	0
1978	335.41	0.07	0
1979	336.78	0.17	0
1980	338.68	0.28	0
1981	340.1	0.33	0
1982	341.44	0.13	0
1983	343.03	0.31	0
1984	344.38	0.16	0
1985	346.04	0.12	0
1986	347.38	0.19	0
1987	349.16	0.34	0
1988	351.56	0.4	0
1989	353.07	0.29	0
1990	354.35	0.44	0
1991	355.57	0.42	0
1992	356.38	0.23	0
1993	357.07	0.24	-11.27
1994	358.82	0.32	-10.17
1995	360.8	0.46	-8.79
1996	362.59	0.34	-5.129
1997	363.71	0.47	0.7551
1998	366.65	0.63	2.7657
1999	368.33	0.42	5.7303
2000	369.52	0.42	8.9062
2001	371.13	0.54	14.112
2002	373.22	0.63	17.631
2003	375.77	0.62	20.646
2004	377.49	0.54	22.49
2005	379.8	0.69	27.082
2006	381.9	0.63	28.086
2007	383.76	0.66	28.716
2008	385.59	0.53	31.06
2009	387.37	0.64	36.1
2010	389.84	0.72	37.216
2011	391.63	0.6	35.971
2012	393.82	0.63	46.635
2013	396.48	0.65	48.817
2014	398.61	0.74	52.127
2015	400.83	0.87	62.446
